Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.6519684247574036,0.1375997835204979,0.6498402555910543,0.22711031710585083,0.6977353327014695
Random Forest,0.9159334305394942,0.41906202723146746,0.1769968051118211,0.24887690925426775,0.7677089283211039
